,treatment,score,dimention
633,D2K,0.22402337531079197,21
634,D2K,0.22509039584447554,22
635,D2K,0.19731183124010332,23
636,D2K,0.19952663610637578,24
637,D2K,0.20491723670584927,25
638,D2K,0.2075564810066466,26
639,D2K,0.20932228111295847,27
640,D2K,0.21071623734931644,28
641,D2K,0.21068154392281124,29
642,D2K,0.21159946171025645,30
643,D2K,0.21048283365064357,31
644,D2K,0.21120115641341375,32
645,D2K,0.2117168094752565,33
646,D2K,0.21121379005394703,34
647,D2K,0.21050201202494523,35
648,D2K,0.20946048330486966,36
649,D2K,0.2086822395200706,37
650,D2K,0.20850272200395903,38
651,D2K,0.20302381390400892,39
652,D2K,0.20322180553033564,40
653,D2K,0.2025697469117118,41
